[01-Apr-2025 20:40:11 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/UX221As4/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
[01-Apr-2025 20:50:36 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/UX221As4/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
[01-Apr-2025 21:56:19 UTC] PHP Warning:  Undefined variable $parent_theme_name in /workspaces/UX221As4/.wordpress/wp-content/mu-plugins/one-click-child-theme/templates/create_child_form.php on line 18
[01-Apr-2025 22:06:52 UTC] PHP Warning:  file_get_contents(/workspaces/UX221As4/.wordpress/wp-content/themes/twentytwentyfive/style.css): Failed to open stream: No such file or directory in /workspaces/UX221As4/.wordpress/wp-includes/functions.php on line 6893
[01-Apr-2025 22:06:52 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/UX221As4/.wordpress/wp-includes/functions.php:6893) in /workspaces/UX221As4/.wordpress/wp-admin/admin-header.php on line 9
[01-Apr-2025 22:09:28 UTC] PHP Warning:  file_get_contents(/workspaces/UX221As4/.wordpress/wp-content/themes/twentytwentyfive/style.css): Failed to open stream: No such file or directory in /workspaces/UX221As4/.wordpress/wp-includes/functions.php on line 6893
[01-Apr-2025 22:09:28 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/UX221As4/.wordpress/wp-includes/functions.php:6893) in /workspaces/UX221As4/.wordpress/wp-admin/admin-header.php on line 9
[01-Apr-2025 22:10:45 UTC] PHP Warning:  Undefined property: WP_Ajax_Upgrader_Skin::$api in /workspaces/UX221As4/.wordpress/wp-admin/includes/class-theme-upgrader.php on line 160
[01-Apr-2025 22:10:46 UTC] PHP Warning:  file_get_contents(/workspaces/UX221As4/.wordpress/wp-content/themes/twentytwentyfive/style.css): Failed to open stream: No such file or directory in /workspaces/UX221As4/.wordpress/wp-includes/functions.php on line 6893
[01-Apr-2025 22:10:50 UTC] PHP Warning:  file_get_contents(/workspaces/UX221As4/.wordpress/wp-content/themes/twentytwentyfive/style.css): Failed to open stream: No such file or directory in /workspaces/UX221As4/.wordpress/wp-includes/functions.php on line 6893
[01-Apr-2025 22:10:50 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/UX221As4/.wordpress/wp-includes/functions.php:6893) in /workspaces/UX221As4/.wordpress/wp-admin/includes/misc.php on line 1438
[01-Apr-2025 22:10:50 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/UX221As4/.wordpress/wp-includes/functions.php:6893) in /workspaces/UX221As4/.wordpress/wp-includes/functions.php on line 7137
[01-Apr-2025 22:10:50 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/UX221As4/.wordpress/wp-includes/functions.php:6893) in /workspaces/UX221As4/.wordpress/wp-includes/pluggable.php on line 1435
[01-Apr-2025 22:10:50 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/UX221As4/.wordpress/wp-includes/functions.php:6893) in /workspaces/UX221As4/.wordpress/wp-includes/pluggable.php on line 1438
[01-Apr-2025 22:11:31 UTC] PHP Warning:  file_get_contents(/workspaces/UX221As4/.wordpress/wp-content/themes/twentytwentyfive/style.css): Failed to open stream: No such file or directory in /workspaces/UX221As4/.wordpress/wp-includes/functions.php on line 6893
[01-Apr-2025 22:11:31 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /workspaces/UX221As4/.wordpress/wp-includes/functions.php:6893) in /workspaces/UX221As4/.wordpress/wp-admin/admin-header.php on line 9
